dbpedia_id	dbpedia_label	inpe_id
Maraã	Maraã	Maraa
Marabá,_Pará	Marabá	Maraba
Marajá_do_Sena	Marajá do Sena	Maraja do Sena
Marapanim	Marapanim	Marapanim
Marcelândia	Marcelândia	Marcelandia
Marechal_Thaumaturgo	Marechal Thaumaturgo	Marechal Thaumaturgo
Marituba	Marituba	Marituba
Matupá	Matupá	Matupa
Maués	Maués (Amazonas)	Maues
Mazagão	Mazagão (Amapá)	Mazagao
Medicilândia	Medicilândia	Medicilandia
Melgaço,_Pará	Melgaço (Pará)	Melgaço
Ministro_Andreazza	Ministro Andreazza	Ministro Andreazza
Mirante_da_Serra	Mirante da Serra	Mirante da Serra
Mirassol_d'Oeste	Mirassol d'Oeste	Mirassol D'oeste
Mocajuba	Mocajuba	Mocajuba
Moju	Moju	Moju
Monte_Alegre,_Pará	Monte Alegre (Pará)	Monte Alegre
Monte_Negro,_Rondônia	Monte Negro	Monte Negro
Monção,_Maranhão	Monção (Maranhão)	Monçao
Mucajaí	Mucajaí	Mucajai
Muricilândia	Muricilândia	Muricilandia
Nhamundá	Nhamundá	Nhamunda
Nortelândia	Nortelândia	Nortelandia
Nossa_Senhora_do_Livramento,_Mato_Grosso	Nossa Senhora do Livramento (Mato Grosso)	Nossa Senhora do Livramento
Nova_Bandeirantes	Nova Bandeirantes	Nova Bandeirantes
Nova_Brasilândia_d'Oeste	Nova Brasilândia d'Oeste	Nova Brasilandia D'oeste
Nova_Canaã_do_Norte	Nova Canaã do Norte	Nova Canaa do Norte
Nova_Esperança_do_Piriá	Nova Esperança do Piriá	Nova Esperança do Piria
Nova_Guarita	Nova Guarita	Nova Guarita
Nova_Ipixuna	Nova Ipixuna	Nova Ipixuna
Nova_Lacerda	Nova Lacerda	Nova Lacerda
Nova_Mamoré	Nova Mamoré	Nova Mamore
Nova_Marilândia	Nova Marilândia	Nova Marilandia
Nova_Maringá	Nova Maringá	Nova Maringa
Nova_Monte_Verde	Nova Monte Verde	Nova Monte Verde
Nova_Mutum	Nova Mutum	Nova Mutum
Nova Olímpia (Mato Grosso)	Nova Olímpia, Mato Grosso	Nova Olimpia
Nova_Olinda_do_Norte	Nova Olinda do Norte	Nova Olinda do Norte
Nova_Santa_Helena	Nova Santa Helena	Nova Santa Helena
Nova_Ubiratã	Nova Ubiratã	Nova Ubirata
Nova_União,_Rondônia	Nova União (Rondônia)	Nova Uniao
Novo_Airão	Novo Airão	Novo Airao
Novo_Aripuanã	Novo Aripuanã	Novo Aripuana
Novo_Horizonte_do_Norte	Novo Horizonte do Norte	Novo Horizonte do Norte
Novo_Horizonte_do_Oeste	Novo Horizonte do Oeste	Novo Horizonte do Oeste
Novo_Mundo	Novo Mundo (Mato Grosso)	Novo Mundo
Novo_Progresso	Novo Progresso	Novo Progresso
Novo_Repartimento	Novo Repartimento	Novo Repartimento
Oeiras_do_Pará	Oeiras do Pará	Oeiras do Para
Oiapoque	Oiapoque	Oiapoque
Oriximiná	Oriximiná	Oriximina
Ourém,_Pará	Ourém (Pará)	Ourem
Ourilândia_do_Norte	Ourilândia do Norte	Ourilandia do Norte
Ouro_Preto_do_Oeste	Ouro Preto do Oeste	Ouro Preto do Oeste
Pacajá	Pacajá	Pacaja
Pacaraima	Pacaraima	Pacaraima
Palestina_do_Pará	Palestina do Pará	Palestina do Para
Paragominas	Paragominas	Paragominas
Paranaíta	Paranaíta	Paranaita
Paranatinga	Paranatinga	Paranatinga
Parauapebas	Parauapebas	Parauapebas
Parecis	Parecis (Rondônia)	Parecis
Parintins	Parintins	Parintins
Abufari_Biological_Reserve	Reserva Biológica do Abufari	Pau D'arco
Pauini	Pauini	Pauini
Pedra_Branca_do_Amapari	Pedra Branca do Amapari	Pedra Branca do Amapari
Peixoto_de_Azevedo	Peixoto de Azevedo	Peixoto de Azevedo
Penalva	Penalva	Penalva
Pequizeiro	Pequizeiro	Pequizeiro
Peri_Mirim	Peri Mirim	Peri Mirim
Pimenta_Bueno	Pimenta Bueno	Pimenta Bueno
